envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
18280000,111000,91.21,93.31,40.1492,5.7537,0.1445,32.0456,0.0015,0.012,1.2248,0.9671,0.0649,-0.2247,1.3776,1.1282,1.229,0.0451,-0.0713,4.9661,9.867
18365000,111500,74.31,65.2,27.7775,6.1768,0.1595,19.4609,0.0006,0.0162,0.537,1.4265,0.1193,-0.1867,1.4175,0.8904,1.1324,-0.0294,0.0883,3.973,10.9413
18440000,112000,27.58,96.45,24.0827,4.226,0.1337,16.4468,0.0003,0.0075,0.4944,2.7739,0.0518,-0.1921,1.4192,1.0666,1.1759,0.0157,-0.03,4.6057,11.201
18522500,112500,62.54,78.82,29.9703,6.1389,0.1402,20.7799,0.0009,0.0116,1.0699,1.8289,0.0961,-0.2378,1.4381,0.913,1.1481,-0.0605,0.0137,4.4197,8.0478
18597500,113000,17.04,20.31,26.522,5.3815,0.1367,18.0807,0.0014,0.0229,0.7306,2.1681,0.0997,-0.1776,1.4289,0.989,1.1938,-0.0203,0.0087,3.7981,8.6259
18680000,113500,64.85,93.36,25.9633,5.2749,0.1526,18.4635,0.0007,0.0059,0.4784,1.5874,0.0643,-0.2531,1.3643,0.908,1.1758,-0.021,-0.0116,4.7249,9.6805
18755000,114000,16.98,16.63,27.6482,5.9844,0.1517,18.8595,0.0003,0.0051,0.8242,1.8231,0.0886,-0.1775,1.3614,0.9513,1.1395,-0.0038,-0.0308,4.2631,9.9986
18837500,114500,58.99,65.01,25.3705,4.62,0.1924,18.4931,0.0008,0.0058,0.5949,1.4636,0.0371,-0.1229,1.106,1.0805,1.1941,0.076,-0.1061,4.6073,10.5886
18912500,115000,20.78,30.5,28.9341,6.4804,0.1636,19.5058,0.0005,0.0078,0.946,1.83,0.0661,-0.1034,1.2423,1.0219,1.2477,-0.0074,0.0463,5.9598,8.9692
18990000,115500,30.81,48.84,25.0454,4.7574,0.1686,17.5509,0.0012,0.0066,0.6429,1.9178,0.0989,-0.0838,1.1923,1.1512,1.2914,-0.0137,-0.0951,5.1798,10.6783
19072500,116000,66.32,63.75,26.1397,5.4772,0.1307,18.3273,0.0005,0.0072,0.4982,1.6985,0.0496,-0.1737,1.05,1.1548,1.4285,0.028,0.0695,5.7742,10.6393
19147500,116500,16.28,16.27,26.6198,6.2205,0.1465,17.4813,0.001,0.0146,0.6152,2.1407,0.0895,-0.1363,1.1507,1.1846,1.0993,0.0576,-0.0231,6.4985,12.1973
19302500,117000,28.45,53.45,23.7639,5.4443,0.1529,16.3631,0.0094,0.0125,0.3071,1.4746,0.1313,-0.1138,0.843,0.7984,1.1303,-0.0209,0.0823,3.9258,17.7579
19377500,117500,28.43,16.59,21.721,4.1542,0.1862,16.0612,0.0091,0.0076,0.2152,1.0875,0.0735,-0.0603,1.2114,0.9348,1.2257,-0.0305,-0.0628,5.9121,10.1438
19452500,118000,0.0,0.64,20.7748,3.8082,0.1481,15.0503,0.0054,0.0487,0.1896,1.5245,0.0712,-0.1457,0.9505,0.9654,1.3506,0.0422,-0.0606,8.3516,10.1463
19527500,118500,0.0,1.04,22.1419,3.9821,0.148,16.6185,0.0047,0.0122,0.2579,1.1186,0.0448,-0.1084,0.6267,0.8128,1.0289,0.0008,-0.1055,9.5048,12.8982
19602500,119000,0.0,0.46,18.5247,2.7648,0.1307,14.5134,0.0014,0.0032,0.1405,0.9708,0.027,-0.0614,0.5685,0.7392,0.9499,0.0743,-0.0482,10.774,13.5773
19677500,119500,15.0,34.5,32.4119,6.3299,0.223,23.3175,0.0217,0.0498,0.6,1.87,0.0526,-0.0143,0.931,1.1433,1.3804,-0.031,0.1428,4.7163,17.5147
19755000,120000,37.88,90.77,20.7357,3.3444,0.1307,15.6084,0.0015,0.0092,0.2208,1.4207,0.0404,-0.1205,0.7371,0.8784,1.0222,0.0471,-0.058,7.0155,11.7669
19840000,120500,80.36,68.33,22.7589,4.8722,0.1458,15.889,0.0023,0.0029,0.2794,1.5672,0.0485,-0.0797,0.6877,0.8177,1.1357,-0.003,-0.0676,5.709,18.5582
